theta1_init,theta2_init,theta1,theta2
0.0,0.0,0.0,0.0
0.0,0.10649466622338281,-0.000687529487154341,-0.0993162354766542
0.0,0.21298933244676563,-0.02253509312588677,-0.16825963199970706
0.0,0.31948399867014843,-0.21556707516511164,0.006383152083124288
0.0,0.42597866489353126,-0.019830668788767245,-0.3683041368425255
0.0,0.5324733311169141,-0.3197698185068379,-0.04075365987960775
0.0,0.6389679973402969,0.009452864768765199,-0.5983818361417744
0.0,0.7454626635636797,-0.4897957435067518,0.026892560603697928
0.0,0.8519573297870625,-0.02067749788417403,-0.7227541869188456
0.0,0.9584519960104453,-0.43816305306189945,-0.1751341388634703
0.0,1.0649466622338282,-0.05209089422650641,-0.7275245449811565
0.0,1.171441328457211,-0.07932366358501486,-0.8388277799829991
0.0,1.2779359946805937,-0.44223800147068243,-0.31020445542081726
0.0,1.3844306609039765,-0.11747614172260167,-0.7760015713277867
0.0,1.4909253271273595,-0.27590716786865804,-0.3386517266192405
0.0,1.5974199933507423,-0.3946736298102516,-0.15803884049774788
0.0,1.703914659574125,0.4549200252637722,-0.7515574879882281
0.0,1.8104093257975078,-0.7901280363150136,0.46828858570696824
0.0,1.9169039920208906,-0.10085984215209534,-0.04228219933622561
0.0,2.0233986582442736,0.7056495555228098,-0.3114162178145106
0.0,2.1298933244676563,1.1551451541125604,0.07621598655779512
0.0,2.236387990691039,0.9016335057880698,0.8074760569072587
0.0,2.342882656914422,-0.19126798853281152,1.5836856587754917
0.0,2.4493773231378047,-0.46369338755637957,0.2622273520464515
0.0,2.5558719893611874,-0.22461048132881656,-2.0580383771603845
0.0,2.66236665558457,0.1786563895569869,-2.4646002590671485
0.0,2.768861321807953,0.17638971068862072,-1.548057598412235
0.0,2.875355988031336,0.4606812142368203,1.9690506722114733
0.0,2.981850654254719,-0.05562145929386417,2.554395279682173
0.0,3.0883453204781017,-0.27579172594441154,-0.19483369403050046
0.0,3.1948399867014845,0.26266745421956306,6.504480203908132
0.0,3.3013346529248673,0.0556296151829217,3.72861776824229
0.0,3.40782931914825,-0.4607097673326309,4.31420041725905
0.0,3.514323985371633,-0.1763833162537221,7.831382550605238
0.0,3.6208186515950156,-0.1786670956368026,8.74778370387205
0.0,3.7273133178183984,0.22460359574945885,8.341212611754054
0.0,3.833807984041781,0.46369230441721215,6.020962953670651
